Name,Type
Hindi,Language
English,Language
Google Sheets,Software
Stakeholder Management,Expertise
Project Management,Expertise
Punjabi,Language
Python,Software
Jira,Software
Confluence,Software
Product Management,Expertise
Retrieval Augmented Generation (RAG),Expertise
Vector Embeddings,Expertise
GitHub,Software
OpenAI Platform,Software
Google AI Studio,Software
Google Slides,Software
MySQL,Software
Tableau,Software
Google Analytics,Software
Trino,Software
Prompt Engineering,Expertise
Data Warehouse Management,Expertise
Data Analytics,Expertise
Codex,Expertise
